surrogate_setting,dataset,target_type,victim_model,method,metric,k,mean,std,count
SR-GNN,diginetica,popular,srgnn,TC-SACP-C,mrr,30,0.07816057603009165,0.0034596554417234645,10
SR-GNN,diginetica,popular,srgnn,TC-SACP-C,mrr,40,0.08044443118647485,0.003432898147677949,10
SR-GNN,diginetica,popular,srgnn,TC-SACP-C,mrr,50,0.08183650968092797,0.003407849342305003,10
SR-GNN,diginetica,popular,srgnn,TC-SACP-C,recall,10,0.18703868020638204,0.006547015752074487,10
SR-GNN,diginetica,popular,srgnn,TC-SACP-C,recall,20,0.32180485720858387,0.009219890728701627,10
SR-GNN,diginetica,popular,srgnn,TC-SACP-C,recall,30,0.4234841762792073,0.01236183817596069,10
SR-GNN,diginetica,popular,srgnn,TC-SACP-C,recall,40,0.5036314042525223,0.015806930399133896,10
SR-GNN,diginetica,popular,srgnn,TC-SACP-C,recall,50,0.5664481251437773,0.01796617221604282,10
SR-GNN,diginetica,popular,srgnn,TC-SACP-G,mrr,10,0.0661095514043366,0.008073772558655013,10
SR-GNN,diginetica,popular,srgnn,TC-SACP-G,mrr,20,0.07376840150451154,0.008047048028183434,10
SR-GNN,diginetica,popular,srgnn,TC-SACP-G,mrr,30,0.07724301700021455,0.008042118532606158,10
SR-GNN,diginetica,popular,srgnn,TC-SACP-G,mrr,40,0.07917688798621417,0.008018417281811168,10
SR-GNN,diginetica,popular,srgnn,TC-SACP-G,mrr,50,0.08038782922560725,0.008008411658933155,10
SR-GNN,diginetica,popular,srgnn,TC-SACP-G,recall,10,0.1775296592066778,0.01181524824905079,10
SR-GNN,diginetica,popular,srgnn,TC-SACP-G,recall,20,0.2903217325577574,0.01293211554437338,10
SR-GNN,diginetica,popular,srgnn,TC-SACP-G,recall,30,0.37722567287784675,0.014821362798079777,10
SR-GNN,diginetica,popular,srgnn,TC-SACP-G,recall,40,0.44500969469913565,0.01541173953607143,10
SR-GNN,diginetica,popular,srgnn,TC-SACP-G,recall,50,0.49966150711492324,0.016823151552140123,10
SR-GNN,diginetica,popular,tron,CLEAN,mrr,10,0.00018285084143309136,0.00032595234275967477,10
SR-GNN,diginetica,popular,tron,CLEAN,mrr,20,0.00023943592047089853,0.00041169097046747595,10
SR-GNN,diginetica,popular,tron,CLEAN,mrr,30,0.00027391854402034613,0.00045679056642926856,10
SR-GNN,diginetica,popular,tron,CLEAN,mrr,40,0.0002950513219982692,0.00048348764906745083,10
SR-GNN,diginetica,popular,tron,CLEAN,mrr,50,0.00031266870113058224,0.0005078488802700496,10
SR-GNN,diginetica,popular,tron,CLEAN,recall,10,0.0006687699234282781,0.0012744199881934888,10
SR-GNN,diginetica,popular,tron,CLEAN,recall,20,0.00151335896677506,0.0026276150888868434,10
SR-GNN,diginetica,popular,tron,CLEAN,recall,30,0.00237766604226228,0.0038408167140183956,10
SR-GNN,diginetica,popular,tron,CLEAN,recall,40,0.00312202175556208,0.0048405896024742295,10
SR-GNN,diginetica,popular,tron,CLEAN,recall,50,0.003927174734628105,0.006041840308348561,10
SR-GNN,diginetica,popular,tron,CREAT,mrr,10,0.0035012300296239397,0.0083891547733713,10
SR-GNN,diginetica,popular,tron,CREAT,mrr,20,0.003956349710448383,0.009096321998526365,10
SR-GNN,diginetica,popular,tron,CREAT,mrr,30,0.004235107879875322,0.009414062889682882,10
SR-GNN,diginetica,popular,tron,CREAT,mrr,40,0.004443291507934653,0.009605278094681409,10
SR-GNN,diginetica,popular,tron,CREAT,mrr,50,0.004610263558135187,0.009732614135680074,10
SR-GNN,diginetica,popular,tron,CREAT,recall,10,0.00966347891813726,0.021214457409566397,10
SR-GNN,diginetica,popular,tron,CREAT,recall,20,0.01648427486936798,0.03183196523531291,10
SR-GNN,diginetica,popular,tron,CREAT,recall,30,0.02355154622235362,0.04031903734362793,10
